,loaninterestrate,loanoriginalbalance,loanpaymentcount,debtratio,rbl
10461,6.75,8000.0,60,3.1726,1
18952,5.5,2689.07,36,0.0949,1
17722,4.5,21595.0,60,0.6155,1
21323,6.75,3091.65,0,0.3236,3
13425,7.0,7500.0,48,0.3007,2
1369,17.7,19774.91,72,0.1367,4
21465,4.5,10895.31,60,0.2028,2
10477,5.75,15000.0,60,0.8475,1
974,4.5,22290.68,72,0.4484,1
3208,16.75,22933.19,60,0.5526,4
19426,5.75,11089.0,60,0.1436,3
17436,10.0,3500.0,48,0.2813,3
8085,4.25,29211.0,84,0.1835,1
16484,6.75,10000.0,0,0.2047,2
12701,10.0,9000.0,48,0.2136,3
11794,4.75,27272.94,72,0.5134,2
5447,5.5,5000.0,24,0.5158,1
10196,5.75,8000.0,36,0.3011,1
3437,6.0,15000.0,60,0.0963,1
20628,6.75,48049.06,60,0.4292,2
8894,6.25,5000.0,24,0.4173,2
18374,6.25,7500.0,60,0.3748,1
12565,6.75,30000.0,0,0.5284,2
6236,10.75,10000.0,60,0.3587,3
22479,7.5,10000.0,60,0.318,2
4459,9.5,1000.0,12,0.3672,3
1146,17.0,13076.0,60,0.1806,4
1528,4.0,33457.38,72,0.1689,1
6168,14.5,1000.0,12,0.1941,4
7085,7.0,33963.02,60,0.27,1
21819,6.75,6500.0,0,0.2028,1
17075,5.75,20397.4,60,0.2568,1
13889,10.25,11579.6,60,0.3488,3
5928,8.25,30000.0,120,0.4729,1
2522,5.5,15590.0,60,0.5754,1
2635,5.0,17381.67,48,0.5531,2
5834,10.75,20000.0,60,0.3989,3
20991,4.5,10000.0,60,0.0967,1
16232,10.0,9049.76,48,0.4181,3
14173,6.75,30000.0,60,0.4907,1
6466,6.25,15000.0,36,0.4907,1
2467,15.5,24188.02,72,0.1368,4
11123,6.0,10000.0,60,0.4186,1
21318,4.5,35000.0,60,0.2726,1
1000,16.5,9201.04,60,0.1223,4
19035,4.5,15000.0,60,0.448,1
4555,6.25,10000.0,12,0.3915,2
21538,4.5,13500.0,60,0.3275,1
2800,2.49,3000.0,12,0.5087,1
9303,10.0,4872.54,48,0.3252,3
16267,6.75,39243.79,60,0.5763,1
12159,3.25,8936.97,48,0.2031,1
14816,10.25,11687.47,48,0.2461,3
10529,3.5,28000.0,60,0.3227,1
17549,9.75,4500.0,36,0.0679,3
666,16.0,5000.0,48,0.1595,5
9320,6.75,15000.0,24,0.3808,1
13885,6.75,10853.06,60,0.4753,1
19032,9.5,9807.77,36,0.4677,3
20834,6.75,20000.0,0,0.6761,1
2600,15.75,19919.94,72,0.3443,4
3165,8.0,18614.97,60,0.3629,3
10074,9.25,5000.0,24,0.4117,3
17085,6.75,30000.0,0,0.5286,1
15545,10.5,14600.0,60,0.306,3
20867,4.5,25000.0,60,0.1139,1
9047,5.5,5000.0,24,0.0512,1
9648,6.75,15000.0,60,0.2995,1
12269,5.75,8000.0,36,0.0795,1
3749,3.75,35969.17,72,0.2967,1
15792,15.75,5000.0,36,0.2537,5
14443,10.25,10000.0,60,0.4188,3
6368,14.5,14405.0,60,0.1695,4
18453,6.25,18550.0,60,0.4703,2
11203,5.25,5500.0,24,0.258,1
7900,7.0,30000.0,60,0.3114,1
20444,2.5,20150.84,60,0.1649,1
17237,17.0,12073.2,60,0.4036,5
5526,9.5,3000.0,12,0.1637,3
6702,7.0,17000.0,60,0.5469,1
19313,6.5,22449.57,72,0.1985,1
5669,6.25,10000.0,60,0.4319,1
2785,14.75,17311.48,60,0.0959,4
7386,5.75,5000.0,24,0.2355,1
15674,7.75,12727.73,60,0.4883,2
15584,6.25,3000.0,36,0.3606,4
16719,6.75,10000.0,0,0.2885,1
17365,10.0,5500.0,48,0.2453,3
22013,13.0,500.0,0,0.3639,4
13936,7.75,14176.0,60,0.3778,2
9205,6.25,2000.0,24,0.1811,2
859,6.75,15418.59,60,0.5423,2
5298,10.25,6194.97,36,0.2915,3
684,10.75,30243.07,72,0.5682,3
5872,7.25,20000.0,60,0.3444,1
17052,10.25,12157.02,60,0.1628,4
1631,14.0,24010.92,72,0.1418,4
9882,15.0,7844.0,48,0.3786,4
15970,7.75,7000.0,60,0.2973,2
14004,6.75,15000.0,0,0.515,1
9411,6.0,14000.0,48,0.5473,1
6292,7.5,30000.0,72,0.5607,1
3669,8.25,15000.0,60,0.4382,2
2944,6.0,27953.1,60,0.5307,1
2225,6.0,12086.72,60,1.2005,1
14523,15.75,5698.03,36,0.2766,5
18786,3.0,15915.75,60,0.3326,1
15873,6.75,3000.0,0,0.0694,3
9356,6.25,2500.0,24,0.121,2
20663,6.75,9993.84,60,0.0337,2
5587,6.0,4000.0,36,0.4228,1
20736,6.75,10148.21,0,0.0477,1
8398,4.75,12900.0,48,0.0577,2
19196,4.5,23000.0,60,0.5242,1
2733,7.5,7468.21,40,0.0802,2
10207,9.75,4756.0,36,0.3577,3
15856,10.0,10000.0,48,0.457,3
4340,10.75,11797.05,48,0.2273,3
2570,5.0,14667.46,54,0.3078,2
11593,14.75,8300.0,60,0.3039,5
21528,10.5,9197.23,60,0.2795,3
21469,3.25,27544.33,60,0.3192,2
9127,6.75,15000.0,0,0.388,2
1592,12.5,33593.63,72,0.2796,4
2373,6.75,30000.0,0,0.3512,2
20858,4.5,21674.88,60,0.2273,1
11910,5.75,5700.0,36,0.3246,1
3674,8.25,13621.79,60,0.2853,2
17053,7.0,24704.75,60,0.3945,3
15130,13.0,2000.0,0,0.1912,2
22405,6.75,5000.0,0,0.4509,1
16814,7.5,36339.54,72,0.4534,1
9733,5.75,18000.0,60,0.5369,1
15920,13.0,500.0,0,0.5417,1
7823,10.5,6100.0,48,0.3788,3
20501,6.75,10000.0,60,0.7604,1
5553,6.25,19000.0,60,0.3872,1
14339,13.0,500.0,0,0.4073,2
17251,5.75,25000.0,60,0.52,1
9206,15.5,4000.0,24,0.1803,5
20332,4.5,20000.0,60,0.495,1
17336,6.25,5600.0,48,0.3811,2
21626,7.5,14000.0,60,0.151,2
16900,13.0,1000.0,0,0.1497,3
3981,6.75,2500.0,0,0.2005,2
19647,6.75,5000.0,0,0.3634,4
11297,5.75,8000.0,36,0.2252,1
8226,3.5,22007.51,60,0.2688,1
19544,3.5,30052.27,72,0.5454,1
14202,14.75,5000.0,36,0.104,4
19255,6.75,7500.0,0,0.2833,4
3259,14.75,1000.0,12,0.3787,4
11451,6.75,10000.0,0,0.4284,1
1351,7.0,22672.83,60,0.5633,1
8945,3.5,16948.94,60,0.4456,1
22094,4.5,20000.0,60,0.2831,1
19529,5.5,15000.0,72,1.5154,1
6421,14.25,18677.74,60,0.2173,4
22488,4.5,23200.0,60,0.6187,1
3578,7.25,6400.0,36,0.4358,2
10398,5.75,15000.0,60,0.3936,1
20872,4.5,35000.0,60,0.2301,1
6069,7.25,13000.0,36,0.3229,2
1344,6.0,22916.66,72,0.2236,2
11126,6.0,7500.0,48,0.2402,1
3029,3.0,17358.66,60,1.1035,1
18461,5.75,7011.0,36,0.3793,2
690,10.5,12500.0,60,0.2835,3
13998,6.5,14437.46,48,0.248,2
15462,6.0,15000.0,60,0.4172,1
1787,6.75,3000.0,0,0.2727,2
1296,5.0,19000.0,60,0.3991,2
9123,6.75,24580.0,36,0.189,2
11680,6.75,2500.0,0,0.2098,2
1479,6.25,10000.0,60,0.5009,1
12504,6.75,15000.0,0,0.1283,3
21681,7.25,13109.71,60,0.4292,2
14000,2.75,48010.04,48,0.4127,1
16965,10.0,6264.31,48,0.4505,3
5767,10.75,10179.05,60,0.3103,4
2480,13.0,1000.0,0,0.5498,3
8250,3.5,15000.0,60,0.1915,1
741,14.0,16474.08,60,0.2417,4
18156,6.75,20000.0,0,0.3238,2
12256,7.25,30000.0,72,0.4249,1
9155,7.75,26798.8,60,0.4073,2
21030,5.5,13778.91,48,0.4378,1
7342,8.25,15000.0,60,0.3245,2
16995,5.75,10000.0,60,0.3099,1
11533,9.75,4000.0,36,0.2744,3
21730,6.0,10399.24,48,0.4048,1
15679,7.25,21211.83,72,0.4675,1
1298,4.25,38108.33,84,0.1356,1
7933,8.25,11631.89,60,0.1947,2
8277,7.25,2500.0,36,0.4784,2
11579,4.25,43291.76,60,0.3943,2
18038,6.75,32181.76,72,0.3845,2
20762,6.75,25000.0,0,0.5045,1
20967,6.75,10000.0,0,0.2965,1
19163,3.0,24106.84,59,0.278,1
18523,7.0,28037.39,72,0.2322,1
1077,10.75,8213.0,42,0.2859,3
13688,6.75,9710.02,36,0.2966,2
13424,6.25,2000.0,24,0.2735,2
13682,8.5,65488.35,180,0.3801,2
3895,9.25,1000.0,12,0.3007,3
12673,5.75,16000.0,36,0.5812,1
4176,3.75,13000.0,60,0.3841,1
12136,7.0,28566.19,48,0.428,2
20868,5.5,14683.24,84,0.438,1
1917,5.5,5350.0,24,0.8973,1
9059,8.75,2500.0,12,0.336,3
12444,5.75,10000.0,36,0.415,1
8432,3.75,11423.96,60,0.3398,1
9235,6.75,20000.0,60,0.2466,1
4135,6.0,15000.0,60,0.6107,1
2679,7.0,11000.0,60,0.3049,1
6502,7.0,7500.0,60,0.2964,1
8970,10.5,28116.11,60,0.2436,3
12400,6.75,5000.0,0,0.1024,4
7794,13.25,21000.0,36,0.2987,4
5763,6.25,4800.0,48,0.0619,1
3982,16.5,10000.0,60,0.4213,4
9388,6.75,5000.0,0,0.4849,4
20604,5.75,30525.76,60,0.3254,1
5833,7.0,3089.45,24,0.3954,2
14225,7.75,10000.0,60,0.4532,2
8608,6.25,6000.0,48,0.492,1
11846,10.5,11941.35,60,0.3767,3
3540,6.25,6000.0,36,0.5318,1
17418,3.75,24620.78,72,0.1405,1
21208,6.0,26000.0,60,0.5168,1
8644,15.75,4000.0,36,0.1763,4
5330,6.25,20000.0,60,0.3944,2
12460,13.0,1000.0,0,0.5001,2
15102,14.25,4279.58,24,0.2547,4
16495,3.75,25960.75,75,0.339,1
21201,4.5,10800.0,60,0.3023,1
13100,13.0,2000.0,0,0.351,1
1527,7.25,16281.79,60,0.493,1
12064,13.0,500.0,0,0.266,2
15409,5.75,17000.0,60,0.1216,1
22285,3.5,16500.0,60,0.6588,1
19174,9.5,5000.0,36,0.3029,3
19290,4.5,21250.0,60,0.0865,1
7594,7.25,30000.0,60,0.3885,1
7872,6.75,15000.0,0,0.3325,2
9999,5.75,18912.0,60,0.3764,1
2675,6.0,30000.0,60,0.4516,1
6216,14.5,13842.45,60,0.095,4
584,6.75,10000.0,0,0.3738,2
10287,6.25,5000.0,24,0.3893,2
8714,16.5,8000.0,60,0.2523,4
6328,9.75,5000.0,24,0.4138,3
4810,2.49,6000.0,12,0.2067,1
11856,7.75,20800.0,60,0.3107,2
15621,2.5,9000.0,36,0.2957,1
13597,13.0,500.0,0,0.3764,0
16190,6.75,30000.0,60,0.401,1
12443,15.75,11500.0,60,0.2648,4
15843,10.25,13000.0,60,0.1436,3
5264,6.25,8500.0,36,0.3101,1
14314,13.0,500.0,0,0.5034,4
13135,4.75,5000.0,0,0.2689,3
12918,9.75,6000.0,36,0.5179,3
10285,5.25,7000.0,24,0.2785,1
13197,6.75,6220.04,60,0.3455,3
3399,5.75,3000.0,24,0.3997,1
20331,6.75,30000.0,0,0.0508,1
5938,16.75,7377.0,60,0.2729,4
16262,13.0,1000.0,0,0.2284,3
14917,9.0,29873.6,72,0.3212,4
22327,6.75,4000.0,0,0.3963,2
9190,4.0,25339.34,60,0.2492,2
16233,3.25,14763.74,48,0.2841,1
15869,16.0,7422.37,48,0.3996,5
21109,3.5,25968.08,72,0.5471,1
14376,7.75,15806.85,60,0.3622,2
797,8.25,10635.88,60,0.4069,2
6121,3.5,15234.33,60,0.8413,1
16489,13.0,500.0,0,0.1816,1
20662,6.75,15000.0,60,0.3398,2
1775,15.75,6286.0,36,0.0884,4
19231,6.75,10000.0,0,0.3762,1
12228,2.75,9928.81,36,0.3127,1
1629,4.25,39968.32,84,0.1408,1
7352,6.0,30000.0,60,0.3471,1
18805,10.0,19347.89,60,0.4338,3
420,15.75,6934.0,36,0.2551,5
7322,7.75,30000.0,72,0.093,1
7840,6.5,2000.0,12,0.3617,2
4856,2.49,2896.43,12,0.3973,1
1460,4.0,23973.97,72,0.4796,1
9016,15.75,14412.74,60,0.2642,4
22502,4.25,17218.54,60,0.3244,3
19745,6.5,15200.0,60,0.5722,3
10683,3.75,27100.0,60,0.1641,1
21167,5.5,5400.0,48,0.0713,1
6712,9.5,2186.0,12,0.3903,3
14065,13.0,500.0,0,0.2462,4
7664,6.0,25000.0,60,0.2317,1
11147,14.75,6500.0,36,0.2872,4
11492,6.0,24935.27,60,0.3249,3
14431,7.0,5000.0,36,0.2776,2
21246,5.5,46887.0,84,0.3836,1
9732,5.75,30000.0,60,0.2898,1
3409,8.25,22857.0,60,0.4415,2
13924,6.25,3880.42,48,0.9719,1
18460,4.5,10000.0,60,0.1189,1
16022,6.75,5000.0,0,0.2315,1
4387,6.0,18000.0,36,0.3315,1
6574,5.5,4000.0,24,0.3184,1
1306,6.75,3000.0,0,0.0335,3
21091,9.75,11500.0,60,0.0289,3
9782,7.75,23618.26,60,0.5261,2
9464,6.75,26000.0,60,0.2347,1
19073,6.75,5996.37,0,0.4395,3
7338,15.75,5874.17,36,0.0778,4
10655,5.75,15000.0,60,0.4979,1
9749,7.75,20000.0,60,0.4899,2
21035,6.75,4000.0,0,0.0065,1
15733,6.75,12983.06,0,0.3538,3
7923,6.0,15000.0,60,0.4419,1
431,15.25,13865.0,48,0.2147,4
14214,6.75,25000.0,60,0.1569,1
17528,6.75,30000.0,0,0.4935,1
2292,6.25,15000.0,60,1.8829,1
16506,6.0,30000.0,60,0.1517,1
11229,7.75,26000.0,60,0.3674,2
18408,4.5,16000.0,60,0.9788,1
21096,13.0,1000.0,0,0.2822,4
17554,7.0,8000.0,48,0.244,3
8749,10.75,41566.58,60,0.4553,3
2957,14.5,1500.0,12,0.0661,4
12061,6.5,4000.0,24,0.1811,2
3554,6.0,30000.0,60,0.545,1
3309,10.75,12700.45,60,0.3551,3
3666,6.0,12000.0,60,0.1825,1
21207,6.75,10000.0,0,0.3106,1
21874,7.25,19345.75,60,0.2421,2
1913,5.5,3500.0,24,1.4022,1
5036,7.5,8470.7,48,0.5145,2
10778,5.75,4000.0,36,1.0449,1
11658,9.25,5500.0,24,0.3175,3
2034,3.75,14000.0,56,0.1378,1
15609,6.75,15000.0,0,0.2332,2
334,16.0,9950.16,48,0.1631,5
2911,6.0,5500.0,36,0.7381,1
14104,6.75,10000.0,0,0.1837,1
9008,6.0,46473.52,48,0.1997,1
6579,6.75,30000.0,0,0.3857,1
2919,8.75,45824.8,72,0.249,2
13260,3.25,22324.23,60,0.3991,1
21105,4.75,7500.0,0,0.2286,1
14619,6.75,2000.0,0,0.1851,4
7615,5.0,1700.0,12,0.179,1
15359,10.25,10000.0,60,0.3303,3
17605,5.0,30000.0,72,0.1681,3
1924,3.75,21258.72,72,0.6489,1
4126,6.0,5000.0,36,0.3233,1
1658,16.5,12891.26,60,0.1192,4
9550,5.25,5000.0,24,0.1208,1
12612,3.25,26378.51,45,0.1669,1
2714,2.49,3000.0,12,0.0666,1
19356,6.0,18183.0,60,0.358,1
2004,6.75,2000.0,0,0.2436,0
3171,7.0,30000.0,60,0.4236,1
2182,7.0,21121.18,60,0.3394,1
16783,10.25,15000.0,60,0.1633,3
1071,6.0,23000.0,60,0.2581,2
1747,5.5,25454.18,24,0.2362,1
1993,5.5,12500.0,24,0.559,1
6802,7.0,10000.0,60,0.3672,1
6495,5.75,5000.0,24,0.4644,1
11698,10.25,15000.0,60,0.2613,3
3199,6.25,10000.0,60,0.5215,1
2825,7.0,24372.0,60,0.3524,1
18144,9.75,15947.0,36,0.376,3
10636,8.5,52614.0,180,0.4316,1
12525,10.0,4000.0,36,0.1547,3
19419,5.5,13431.49,36,0.4074,1
18286,4.5,16000.0,60,0.3401,1
5768,5.0,24263.8,72,0.4669,2
3099,16.75,8250.0,48,0.2294,5
14442,9.25,7052.01,24,0.3712,3
10391,13.0,3700.0,0,0.4098,3
19402,10.0,13921.15,60,0.2807,3
21887,6.75,25000.0,0,0.5291,1
3139,3.0,31211.05,60,0.6788,1
4725,6.75,15000.0,0,0.1732,1
16821,5.5,10000.0,60,0.4766,3
22393,13.0,500.0,0,0.4647,1
15589,6.75,18966.03,0,0.2867,3
19455,7.0,13241.94,60,0.3014,3
1315,16.0,8376.29,48,0.3885,4
1250,13.7,15321.03,72,0.4662,4
4665,5.0,32873.83,72,0.2579,2
1030,6.0,10000.0,60,0.2483,1
8942,6.25,8000.0,48,0.6204,1
8507,16.5,5000.0,36,0.3498,5
8659,6.25,15000.0,60,0.4168,1
8892,9.75,12000.0,36,0.2988,3
21684,6.75,25000.0,0,0.3079,2
16207,5.75,10000.0,60,0.3632,1
5656,6.25,2000.0,12,0.2621,2
423,8.0,15000.0,60,0.5701,2
6511,15.0,1976.77,24,0.3229,4
18041,4.5,45000.0,60,0.2303,2
4409,10.75,10000.0,60,0.4421,3
6378,4.5,8800.0,48,0.379,2
7759,7.25,5000.0,36,0.2833,2
4551,10.75,16454.55,60,0.2543,3
18531,4.5,21000.0,60,0.5037,1
15699,6.75,4000.0,36,0.2343,2
20655,6.75,7000.0,0,0.3166,1
17027,6.75,31758.98,60,0.2337,1
6038,5.0,5000.0,12,0.3188,1
15817,3.75,23852.63,72,0.2799,1
4830,6.0,20000.0,60,0.0662,1
21836,15.25,17500.0,60,0.3364,4
6638,6.5,20000.0,48,0.18,1
8472,3.5,19000.0,60,0.3227,1
6375,13.5,23000.0,60,0.2614,4
8579,5.5,3000.0,24,0.2433,1
558,14.75,1500.0,12,0.3768,4
1534,7.75,12307.57,48,0.4292,3
21377,3.0,13000.0,48,0.4356,1
14423,6.75,5000.0,0,0.12,1
2828,6.0,48000.0,60,0.1881,1
4882,6.0,6738.84,36,1.2336,1
15969,6.0,10000.0,60,0.3553,1
9324,6.75,7500.0,60,0.1338,1
16423,8.0,18500.0,60,0.5929,2
11166,13.5,6974.87,48,0.1237,4
8212,6.25,30000.0,60,0.3917,1
2377,6.0,4000.0,36,0.7889,1
11159,6.25,2322.48,24,0.5037,2
13161,15.25,8800.0,24,0.3848,5
8756,16.0,5000.0,24,0.3635,5
20555,13.0,2000.0,0,0.1776,2
20639,6.75,10000.0,0,0.0256,1
4267,6.0,9300.6,36,0.4778,1
11789,14.25,3000.0,24,0.2596,4
13464,7.0,6000.0,60,1.1437,1
10390,7.0,18500.0,60,0.3832,3
19389,4.5,16770.52,60,0.2361,1
1605,5.5,7000.0,24,0.7438,1
10091,6.25,3500.0,24,0.4424,2
5003,7.5,18000.0,48,0.2771,2
3430,7.0,8000.0,60,0.2618,1
6597,15.5,6000.0,36,0.279,4
1523,6.25,10400.0,60,0.0781,1
16641,5.75,15000.0,60,0.1753,1
8636,6.75,5000.0,0,0.2648,3
21018,6.75,7000.0,60,0.4164,2
20426,10.0,14801.28,60,0.0277,4
6735,7.25,8648.24,36,0.1149,2
11471,5.75,5000.0,36,0.4381,1
4137,5.5,6014.07,60,0.6614,1
16298,13.0,500.0,0,0.4002,1
4655,5.5,5000.0,24,0.3995,1
6222,3.5,25633.28,60,0.1977,1
7535,6.75,8000.0,0,0.0726,3
2990,3.0,12000.0,36,0.3934,1
3149,3.0,35750.0,60,0.1976,1
5864,6.0,11252.0,60,0.295,1
16392,10.75,36413.45,72,0.327,3
9673,14.5,3000.0,24,0.4139,4
7376,3.25,14673.61,39,0.4903,1
4626,5.75,4500.0,24,0.5114,1
4154,11.0,15554.09,60,0.4381,3
17425,3.25,29000.0,60,0.522,1
15223,6.75,10000.0,0,0.5219,2
16827,3.75,41275.35,72,0.3157,1
16023,6.75,6000.0,0,0.6045,1
16662,6.0,5000.0,36,0.7915,1
13308,7.0,8600.0,48,0.1842,2
10437,8.0,12015.17,60,0.2179,2
17290,6.0,41148.7,48,0.3054,1
28,15.0,8507.0,36,0.3974,4
11842,6.75,15000.0,0,0.5196,1
1056,6.75,3000.0,0,0.6939,3
6272,7.0,15000.0,60,0.1005,1
12255,10.0,3848.0,48,0.237,3
14043,10.25,24947.84,60,0.3344,3
18155,15.25,13995.0,48,0.3211,4
11706,7.0,3500.0,36,0.3801,2
13099,9.25,2500.0,24,0.3837,3
3054,5.75,6511.07,24,0.3986,1
15456,10.75,7100.0,48,0.3496,4
11118,5.75,20000.0,60,0.1368,1
20651,4.5,18302.3,60,0.0032,1
5321,7.0,19050.93,60,0.4475,1
17696,4.5,25000.0,60,0.952,1
12815,6.75,5000.0,0,0.1596,2
20887,2.5,34798.37,60,0.2107,1
1938,8.25,10511.9,60,0.2323,2
21621,6.75,5000.0,0,0.4678,1
15616,17.0,11340.48,60,0.346,5
2496,16.0,2000.0,24,0.189,5
5508,3.5,16025.7,60,0.7793,1
3713,8.25,22000.0,60,0.518,2
15782,7.25,27498.0,72,0.408,1
6552,8.25,48962.56,60,0.3039,2
3133,14.75,500.0,6,0.0569,4
116,5.75,5000.0,24,0.5466,1
18363,7.25,41277.35,60,0.4448,2
6317,8.0,31015.88,72,0.1444,3
8610,4.25,58524.71,84,0.3583,1
12053,6.75,15000.0,0,0.3642,1
21459,4.5,34499.66,60,0.3422,1
7475,5.5,20946.0,60,0.4146,1
20588,6.75,14260.78,60,0.2415,2
4245,15.0,3600.0,24,0.1093,4
18239,6.25,20594.98,60,0.5154,1
17319,6.75,10000.0,0,0.2643,1
367,9.0,25901.01,72,0.2632,3
21711,7.25,20000.0,60,0.1189,2
7510,14.5,1500.0,12,0.1422,4
7743,6.25,22000.0,60,0.4358,1
9758,6.0,15000.0,60,0.3555,1
7911,7.25,7000.0,36,0.2768,2
7132,6.0,10000.0,60,0.2387,1
14277,5.75,25000.0,60,0.3917,1
21685,4.5,40000.0,60,0.5155,1
896,10.5,25500.0,60,0.6168,3
1613,6.0,13000.0,60,0.4796,1
7622,6.75,15000.0,0,0.3743,1
7667,14.75,500.0,12,0.4513,4
11624,8.5,14094.65,60,0.2195,3
4058,6.75,15000.0,0,0.4017,1
11342,9.75,10000.0,36,0.0635,3
11026,5.25,7900.0,24,0.3626,1
1328,4.0,22722.5,60,0.2218,1
19725,6.75,25000.0,0,0.4471,1
15835,6.75,6000.0,0,0.2913,1
16677,6.75,15000.0,0,0.5578,1
20706,6.75,20000.0,0,0.1484,1
1865,2.49,3000.0,12,0.568,1
12456,7.75,12792.07,60,0.2905,2
21032,4.5,20000.0,60,0.0472,2
15602,6.75,17000.0,60,0.4971,1
4590,10.75,21290.0,60,0.233,3
19217,4.5,12400.0,60,0.2162,1
2894,7.25,20000.0,36,0.5939,2
11235,5.75,25000.0,60,0.3895,1
1318,3.5,6469.01,48,0.09,1
7084,5.5,3000.0,24,0.2988,1
13139,6.75,6500.0,0,0.1727,2
21034,6.5,10599.0,48,0.455,3
21171,2.5,16537.5,48,0.1775,1
1758,7.25,13664.28,36,0.4879,2
3529,6.75,1000.0,0,0.3415,5
9484,7.75,21630.06,60,0.4054,2
13157,6.0,6300.0,48,0.5488,1
9477,2.75,8003.94,36,0.1392,1
6337,6.75,5000.0,24,0.1662,2
5542,11.0,11400.0,60,0.3982,3
21210,4.5,22334.98,60,0.0098,1
14676,4.5,22240.99,54,0.2652,2
8232,14.75,1500.0,12,0.4372,4
2536,6.75,7000.0,60,0.5312,1
11507,6.75,9000.0,60,0.5103,1
3001,6.75,4000.0,15,0.321,2
9387,7.75,33624.14,60,0.3086,2
1912,4.0,32587.4,72,0.263,1
9993,6.25,6000.0,24,0.5547,2
16295,5.75,34903.68,60,0.3535,1
15441,6.75,5000.0,0,0.3121,2
17904,7.75,30400.0,72,0.3005,2
18024,6.75,500.0,0,0.0193,4
17016,5.75,11805.19,60,0.6241,1
7114,10.75,14343.9,60,0.2019,3
