,loanpurposecode,loanapprovalcode,loaninterestrate,loanoriginalbalance,loanpayment,loanpaymentcount,loancreditscore,debtratio,rbl
2484,3,1437,10.75,31467.0,713.38,60,678,0.2869,3
17143,13,1090,6.75,16264.24,341.18,59,637,0.1708,3
4684,25,780,5.5,6000.0,264.86,24,809,0.4874,1
15881,25,780,7.25,30000.0,547.04,72,720,0.3505,1
6957,25,780,6.0,30000.0,580.26,60,737,0.2797,1
4391,40,1916,6.75,10000.0,50.0,0,699,0.4047,2
11628,25,47,7.25,8000.0,195.93,48,711,0.1404,2
1459,3,780,6.0,20000.0,628.0,36,756,0.2364,1
17524,25,55,7.0,5000.0,162.63,36,682,0.3691,2
465,25,570,6.25,20000.0,425.45,60,755,0.1248,1
6197,2,1017,15.5,5000.0,178.1,36,630,0.4169,4
5868,25,166,4.25,12000.0,355.72,36,806,0.1705,1
8624,3,780,7.0,14501.79,287.84,60,739,0.2065,1
2596,9999,1017,13.75,11440.72,389.63,36,0,0.2383,4
1371,25,780,6.0,25000.0,494.99,60,771,0.102,1
7976,2,780,6.0,10000.0,322.12,36,730,0.3633,1
3726,17,1916,5.75,39565.65,674.55,69,690,0.5394,2
17869,9999,780,6.25,13000.0,266.16,60,757,0.3192,1
74,40,585,6.75,10000.0,322.0,0,645,0.3925,3
15903,23,780,6.0,10000.0,197.85,60,761,0.0986,1
10039,3,1437,10.25,19205.52,449.93,60,679,0.4098,3
6770,3,780,6.0,19454.15,376.34,60,807,0.4459,1
365,9999,1437,14.0,20494.71,494.57,72,0,0.1295,4
7101,13,780,2.75,7627.8,220.9,36,751,0.3879,1
11410,13,570,3.5,7074.37,313.11,24,697,0.499,2
4422,17,55,4.75,8000.0,183.58,48,698,0.4002,2
9368,3,780,5.75,25000.0,481.03,60,750,0.2931,1
15619,25,780,6.0,5000.0,117.52,48,756,0.4217,1
10461,23,780,6.75,8000.0,157.48,60,751,3.1726,1
18952,25,1437,5.5,2689.07,81.98,36,721,0.0949,1
17722,3,1437,4.5,21595.0,410.48,60,744,0.6155,1
21323,40,55,6.75,3091.65,62.0,0,642,0.3236,3
13425,25,1176,7.0,7500.0,183.22,48,708,0.3007,2
1369,9999,1916,17.7,19774.91,450.93,72,609,0.1367,4
21465,3,341,4.5,10895.31,211.37,60,705,0.2028,2
10477,23,780,5.75,15000.0,287.95,60,802,0.8475,1
974,13,780,4.5,22290.68,364.11,72,720,0.4484,1
3208,3,9999,16.75,22933.19,610.12,60,618,0.5526,4
19426,13,1437,5.75,11089.0,213.13,60,666,0.1436,3
17436,25,1017,10.0,3500.0,92.6,48,653,0.2813,3
8085,14,780,4.25,29211.0,431.35,84,752,0.1835,1
16484,40,1090,6.75,10000.0,316.0,0,697,0.2047,2
12701,25,1437,10.0,9000.0,237.61,48,653,0.2136,3
11794,14,1437,4.75,27272.94,462.93,72,681,0.5134,2
5447,3,780,5.5,5000.0,220.9,24,739,0.5158,1
10196,25,780,5.75,8000.0,242.78,36,791,0.3011,1
3437,3,780,6.0,15000.0,290.38,60,809,0.0963,1
20628,3,1017,6.75,48049.06,945.23,60,708,0.4292,2
8894,3,1407,6.25,5000.0,222.24,24,717,0.4173,2
18374,25,1437,6.25,7500.0,153.35,60,766,0.3748,1
12565,40,570,6.75,30000.0,584.0,0,717,0.5284,2
6236,25,570,10.75,10000.0,226.81,60,672,0.3587,3
22479,3,780,7.5,10000.0,200.77,60,695,0.318,2
4459,2,1437,9.5,1000.0,87.7,12,661,0.3672,3
1146,9999,1437,17.0,13076.0,327.24,60,621,0.1806,4
1528,9999,1437,4.0,33457.38,524.32,72,753,0.1689,1
6168,2,585,14.5,1000.0,90.97,12,0,0.1941,4
7085,3,1437,7.0,33963.02,673.9,60,721,0.27,1
21819,40,1017,6.75,6500.0,50.0,0,0,0.2028,1
17075,3,585,5.75,20397.4,429.68,60,733,0.2568,1
13889,3,1176,10.25,11579.6,247.23,60,645,0.3488,3
5928,8,1017,8.25,30000.0,384.04,120,748,0.4729,1
2522,9999,1407,5.5,15590.0,304.87,60,803,0.5754,1
2635,13,1090,5.0,17381.67,423.76,48,715,0.5531,2
5834,3,585,10.75,20000.0,473.58,60,673,0.3989,3
20991,25,585,4.5,10000.0,190.38,60,727,0.0967,1
16232,3,1437,10.0,9049.76,238.85,48,659,0.4181,3
14173,3,780,6.75,30000.0,606.09,60,726,0.4907,1
6466,2,780,6.25,15000.0,485.16,36,746,0.4907,1
2467,9999,1437,15.5,24188.02,521.45,72,0,0.1368,4
11123,3,780,6.0,10000.0,193.15,60,743,0.4186,1
21318,3,55,4.5,35000.0,652.55,60,758,0.2726,1
1000,3,585,16.5,9201.04,230.59,60,624,0.1223,4
19035,25,1437,4.5,15000.0,279.84,60,796,0.448,1
4555,25,780,6.25,10000.0,871.52,12,717,0.3915,2
21538,25,570,4.5,13500.0,276.46,60,731,0.3275,1
2800,2,780,2.49,3000.0,253.26,12,738,0.5087,1
9303,3,1437,10.0,4872.54,123.24,48,680,0.3252,3
16267,3,9999,6.75,39243.79,771.81,60,740,0.5763,1
12159,13,1017,3.25,8936.97,214.78,48,735,0.2031,1
14816,25,1437,10.25,11687.47,316.41,48,677,0.2461,3
10529,13,780,3.5,28000.0,509.07,60,825,0.3227,1
17549,2,1017,9.75,4500.0,145.25,36,672,0.0679,3
666,23,1437,16.0,5000.0,147.46,48,596,0.1595,5
9320,40,780,6.75,15000.0,186.0,24,796,0.3808,1
13885,3,780,6.75,10853.06,224.83,60,818,0.4753,1
19032,3,585,9.5,9807.77,324.24,36,671,0.4677,3
20834,40,1090,6.75,20000.0,50.0,0,825,0.6761,1
2600,9999,1437,15.75,19919.94,432.18,72,0,0.3443,4
3165,13,570,8.0,18614.97,387.49,60,672,0.3629,3
10074,2,1437,9.25,5000.0,238.21,24,657,0.4117,3
17085,40,1437,6.75,30000.0,565.0,0,793,0.5286,1
15545,3,1437,10.5,14600.0,315.09,60,664,0.306,3
20867,25,1017,4.5,25000.0,466.33,60,735,0.1139,1
9047,23,780,5.5,5000.0,225.18,24,726,0.0512,1
9648,2,780,6.75,15000.0,309.91,60,724,0.2995,1
12269,2,780,5.75,8000.0,250.66,36,727,0.0795,1
3749,14,166,3.75,35969.17,559.05,72,749,0.2967,1
15792,25,1437,15.75,5000.0,175.51,36,577,0.2537,5
14443,25,47,10.25,10000.0,231.09,60,652,0.4188,3
6368,9999,1090,14.5,14405.0,338.92,60,0,0.1695,4
18453,8,1437,6.25,18550.0,397.22,60,688,0.4703,2
11203,25,780,5.25,5500.0,242.24,24,756,0.258,1
7900,3,780,7.0,30000.0,640.77,60,820,0.3114,1
20444,14,166,2.5,20150.84,364.97,60,830,0.1649,1
17237,23,585,17.0,12073.2,324.55,60,586,0.4036,5
5526,25,570,9.5,3000.0,264.42,12,668,0.1637,3
6702,3,780,7.0,17000.0,369.48,60,750,0.5469,1
19313,25,47,6.5,22449.57,376.72,72,791,0.1985,1
5669,3,780,6.25,10000.0,194.08,60,787,0.4319,1
2785,9999,1916,14.75,17311.48,412.06,60,0,0.0959,4
7386,2,780,5.75,5000.0,221.22,24,795,0.2355,1
15674,3,1437,7.75,12727.73,281.09,60,683,0.4883,2
15584,9999,47,6.25,3000.0,95.95,36,600,0.3606,4
16719,40,585,6.75,10000.0,300.0,0,721,0.2885,1
17365,3,585,10.0,5500.0,150.02,48,665,0.2453,3
22013,43,585,13.0,500.0,25.0,0,0,0.3639,4
13936,3,1017,7.75,14176.0,300.48,60,702,0.3778,2
9205,25,780,6.25,2000.0,92.59,24,693,0.1811,2
859,25,570,6.75,15418.59,326.81,60,707,0.5423,2
5298,3,1916,10.25,6194.97,212.82,36,650,0.2915,3
684,3,47,10.75,30243.07,636.58,72,680,0.5682,3
5872,3,780,7.25,20000.0,418.61,60,783,0.3444,1
17052,3,1437,10.25,12157.02,283.9,60,621,0.1628,4
1631,9999,1437,14.0,24010.92,497.65,72,0,0.1418,4
9882,3,166,15.0,7844.0,223.27,48,630,0.3786,4
15970,25,570,7.75,7000.0,147.81,60,719,0.2973,2
14004,40,47,6.75,15000.0,251.0,0,725,0.515,1
9411,24,780,6.0,14000.0,335.4,48,814,0.5473,1
6292,25,780,7.5,30000.0,549.44,72,733,0.5607,1
3669,25,1407,8.25,15000.0,334.84,60,690,0.4382,2
2944,3,780,6.0,27953.1,567.24,60,818,0.5307,1
2225,3,780,6.0,12086.72,233.73,60,771,1.2005,1
14523,24,55,15.75,5698.03,212.04,36,573,0.2766,5
18786,13,585,3.0,15915.75,286.15,60,764,0.3326,1
15873,40,1437,6.75,3000.0,50.0,0,666,0.0694,3
9356,2,1407,6.25,2500.0,115.07,24,693,0.121,2
20663,3,570,6.75,9993.84,197.15,60,700,0.0337,2
5587,23,780,6.0,4000.0,128.88,36,751,0.4228,1
20736,25,47,6.75,10148.21,50.0,0,726,0.0477,1
8398,13,1437,4.75,12900.0,295.6,48,717,0.0577,2
19196,3,47,4.5,23000.0,450.98,60,731,0.5242,1
2733,3,1407,7.5,7468.21,224.86,40,684,0.0802,2
10207,3,585,9.75,4756.0,161.93,36,645,0.3577,3
15856,25,570,10.0,10000.0,272.68,48,679,0.457,3
4340,3,1407,10.75,11797.05,308.84,48,647,0.2273,3
2570,13,1407,5.0,14667.46,304.24,54,683,0.3078,2
11593,13,1437,14.75,8300.0,197.42,60,585,0.3039,5
21528,3,341,10.5,9197.23,212.63,60,651,0.2795,3
21469,17,780,3.25,27544.33,497.35,60,711,0.3192,2
9127,40,780,6.75,15000.0,431.0,0,700,0.388,2
1592,9999,1437,12.5,33593.63,668.94,72,615,0.2796,4
2373,40,1407,6.75,30000.0,958.0,0,715,0.3512,2
20858,3,570,4.5,21674.88,404.46,60,748,0.2273,1
11910,25,780,5.75,5700.0,182.93,36,764,0.3246,1
3674,3,1916,8.25,13621.79,277.32,60,684,0.2853,2
17053,3,1437,7.0,24704.75,515.28,60,655,0.3945,3
15130,43,780,13.0,2000.0,75.0,0,718,0.1912,2
22405,40,55,6.75,5000.0,83.0,0,791,0.4509,1
16814,3,55,7.5,36339.54,696.4,72,800,0.4534,1
9733,8,1407,5.75,18000.0,346.69,60,833,0.5369,1
15920,43,1176,13.0,500.0,25.0,0,747,0.5417,1
7823,25,1407,10.5,6100.0,156.87,48,657,0.3788,3
20501,40,585,6.75,10000.0,317.0,60,738,0.7604,1
5553,23,780,6.25,19000.0,388.98,60,722,0.3872,1
14339,43,9999,13.0,500.0,25.0,0,685,0.4073,2
17251,2,1437,5.75,25000.0,481.75,60,817,0.52,1
9206,25,1916,15.5,4000.0,195.78,24,570,0.1803,5
20332,25,55,4.5,20000.0,371.38,60,808,0.495,1
17336,3,1437,6.25,5600.0,131.87,48,700,0.3811,2
21626,3,341,7.5,14000.0,307.4,60,719,0.151,2
16900,43,47,13.0,1000.0,25.0,0,670,0.1497,3
3981,40,1017,6.75,2500.0,75.0,0,692,0.2005,2
19647,40,166,6.75,5000.0,163.0,0,606,0.3634,4
11297,25,780,5.75,8000.0,242.44,36,747,0.2252,1
8226,13,780,3.5,22007.51,400.07,60,757,0.2688,1
19544,9999,780,3.5,30052.27,463.3,72,729,0.5454,1
14202,25,1437,14.75,5000.0,175.13,36,629,0.104,4
19255,40,166,6.75,7500.0,95.0,0,634,0.2833,4
3259,25,1407,14.75,1000.0,90.63,12,0,0.3787,4
11451,40,780,6.75,10000.0,201.0,0,732,0.4284,1
1351,25,780,7.0,22672.83,459.47,60,727,0.5633,1
8945,13,1437,3.5,16948.94,308.49,60,760,0.4456,1
22094,9999,585,4.5,20000.0,372.74,60,808,0.2831,1
19529,8,166,5.5,15000.0,245.66,72,802,1.5154,1
6421,9999,1437,14.25,18677.74,437.16,60,0,0.2173,4
22488,3,341,4.5,23200.0,475.61,60,822,0.6187,1
3578,25,1407,7.25,6400.0,210.93,36,691,0.4358,2
10398,25,780,5.75,15000.0,295.65,60,830,0.3936,1
20872,23,585,4.5,35000.0,664.33,60,837,0.2301,1
6069,3,570,7.25,13000.0,426.89,36,681,0.3229,2
1344,9999,1437,6.0,22916.66,379.8,72,697,0.2236,2
11126,23,780,6.0,7500.0,189.84,48,782,0.2402,1
3029,9999,780,3.0,17358.66,328.39,60,774,1.1035,1
18461,25,1437,5.75,7011.0,222.56,36,693,0.3793,2
690,25,47,10.5,12500.0,288.86,60,649,0.2835,3
13998,3,780,6.5,14437.46,338.6,48,719,0.248,2
15462,3,780,6.0,15000.0,297.1,60,727,0.4172,1
1787,40,570,6.75,3000.0,50.0,0,689,0.2727,2
1296,13,780,5.0,19000.0,367.01,60,716,0.3991,2
9123,3,1437,6.75,24580.0,767.27,36,706,0.189,2
11680,40,570,6.75,2500.0,50.0,0,702,0.2098,2
1479,25,780,6.25,10000.0,213.31,60,783,0.5009,1
12504,40,1017,6.75,15000.0,301.0,0,659,0.1283,3
21681,23,1017,7.25,13109.71,274.74,60,686,0.4292,2
14000,14,780,2.75,48010.04,1058.38,48,735,0.4127,1
16965,25,1437,10.0,6264.31,158.86,48,667,0.4505,3
5767,13,1916,10.75,10179.05,219.49,60,0,0.3103,4
2480,43,1462,13.0,1000.0,25.0,0,679,0.5498,3
8250,13,780,3.5,15000.0,287.88,60,814,0.1915,1
741,13,1017,14.0,16474.08,382.37,60,0,0.2417,4
18156,40,1017,6.75,20000.0,50.0,0,716,0.3238,2
12256,25,47,7.25,30000.0,515.59,72,818,0.4249,1
9155,3,1407,7.75,26798.8,566.32,60,706,0.4073,2
21030,3,570,5.5,13778.91,325.41,48,721,0.4378,1
7342,3,780,8.25,15000.0,306.11,60,709,0.3245,2
16995,25,780,5.75,10000.0,210.77,60,740,0.3099,1
11533,2,55,9.75,4000.0,128.92,36,643,0.2744,3
21730,3,341,6.0,10399.24,261.94,48,755,0.4048,1
15679,3,780,7.25,21211.83,385.41,72,720,0.4675,1
1298,14,585,4.25,38108.33,525.07,84,809,0.1356,1
7933,3,585,8.25,11631.89,260.37,60,703,0.1947,2
8277,23,585,7.25,2500.0,79.81,36,687,0.4784,2
11579,13,570,4.25,43291.76,822.62,60,709,0.3943,2
18038,3,1437,6.75,32181.76,556.77,72,715,0.3845,2
20762,25,47,6.75,25000.0,50.0,0,783,0.5045,1
20967,40,1017,6.75,10000.0,50.0,0,770,0.2965,1
19163,17,585,3.0,24106.84,483.37,59,736,0.278,1
18523,3,1437,7.0,28037.39,478.19,72,728,0.2322,1
1077,3,1437,10.75,8213.0,235.58,42,645,0.2859,3
13688,3,1176,6.75,9710.02,307.89,36,705,0.2966,2
13424,25,780,6.25,2000.0,89.81,24,682,0.2735,2
13682,8,47,8.5,65488.35,491.77,180,710,0.3801,2
3895,3,1407,9.25,1000.0,87.78,12,667,0.3007,3
12673,3,780,5.75,16000.0,485.87,36,767,0.5812,1
4176,13,780,3.75,13000.0,243.98,60,741,0.3841,1
12136,3,570,7.0,28566.19,684.3,48,686,0.428,2
20868,9999,585,5.5,14683.24,211.4,84,755,0.438,1
1917,25,780,5.5,5350.0,238.28,24,739,0.8973,1
9059,25,1407,8.75,2500.0,220.73,12,655,0.336,3
12444,3,780,5.75,10000.0,319.93,36,766,0.415,1
8432,13,780,3.75,11423.96,209.06,60,796,0.3398,1
9235,23,780,6.75,20000.0,394.55,60,783,0.2466,1
4135,25,780,6.0,15000.0,290.74,60,742,0.6107,1
2679,3,780,7.0,11000.0,237.22,60,733,0.3049,1
6502,25,780,7.0,7500.0,162.76,60,746,0.2964,1
8970,3,570,10.5,28116.11,664.44,60,667,0.2436,3
12400,40,585,6.75,5000.0,124.0,0,618,0.1024,4
7794,13,1407,13.25,21000.0,721.06,36,0,0.2987,4
5763,3,780,6.25,4800.0,118.45,48,729,0.0619,1
3982,25,585,16.5,10000.0,258.17,60,631,0.4213,4
9388,40,166,6.75,5000.0,154.0,0,623,0.4849,4
20604,3,585,5.75,30525.76,590.14,60,766,0.3254,1
5833,25,780,7.0,3089.45,143.67,24,715,0.3954,2
14225,2,1017,7.75,10000.0,220.8,60,714,0.4532,2
8608,25,780,6.25,6000.0,141.86,48,765,0.492,1
11846,3,1017,10.5,11941.35,257.5,60,646,0.3767,3
3540,25,780,6.25,6000.0,188.84,36,748,0.5318,1
17418,14,585,3.75,24620.78,391.42,72,737,0.1405,1
21208,3,47,6.0,26000.0,503.39,60,748,0.5168,1
8644,25,1437,15.75,4000.0,148.14,36,615,0.1763,4
5330,3,55,6.25,20000.0,389.84,60,685,0.3944,2
12460,43,585,13.0,1000.0,25.0,0,706,0.5001,2
15102,3,1437,14.25,4279.58,213.42,24,630,0.2547,4
16495,9999,780,3.75,25960.75,436.51,75,755,0.339,1
21201,3,55,4.5,10800.0,201.37,60,763,0.3023,1
13100,43,1437,13.0,2000.0,25.0,0,826,0.351,1
1527,3,780,7.25,16281.79,331.29,60,754,0.493,1
12064,43,1437,13.0,500.0,25.0,0,694,0.266,2
15409,3,780,5.75,17000.0,358.94,60,722,0.1216,1
22285,13,1090,3.5,16500.0,300.17,60,721,0.6588,1
19174,25,1437,9.5,5000.0,165.12,36,625,0.3029,3
19290,3,570,4.5,21250.0,395.83,60,738,0.0865,1
7594,25,780,7.25,30000.0,597.34,60,728,0.3885,1
7872,40,780,6.75,15000.0,323.0,0,690,0.3325,2
9999,3,780,5.75,18912.0,382.76,60,726,0.3764,1
2675,3,780,6.0,30000.0,610.71,60,776,0.4516,1
6216,9999,1090,14.5,13842.45,327.54,60,0,0.095,4
584,40,570,6.75,10000.0,189.0,0,685,0.3738,2
10287,9999,780,6.25,5000.0,231.29,24,683,0.3893,2
8714,25,55,16.5,8000.0,214.23,60,601,0.2523,4
6328,2,1437,9.75,5000.0,240.75,24,657,0.4138,3
4810,3,780,2.49,6000.0,507.28,12,754,0.2067,1
11856,3,570,7.75,20800.0,419.34,60,697,0.3107,2
15621,17,780,2.5,9000.0,275.36,36,741,0.2957,1
13597,43,1176,13.0,500.0,25.0,0,0,0.3764,0
16190,2,780,6.75,30000.0,604.86,60,745,0.401,1
12443,23,1437,15.75,11500.0,292.87,60,612,0.2648,4
15843,2,47,10.25,13000.0,292.37,60,658,0.1436,3
5264,3,780,6.25,8500.0,275.05,36,724,0.3101,1
14314,43,47,13.0,500.0,25.0,0,608,0.5034,4
13135,40,47,4.75,5000.0,160.0,0,651,0.2689,3
12918,25,47,9.75,6000.0,199.57,36,666,0.5179,3
10285,2,780,5.25,7000.0,307.97,24,720,0.2785,1
13197,40,1437,6.75,6220.04,129.0,60,644,0.3455,3
3399,25,780,5.75,3000.0,137.92,24,756,0.3997,1
20331,40,585,6.75,30000.0,50.0,0,758,0.0508,1
5938,25,1437,16.75,7377.0,195.93,60,614,0.2729,4
16262,43,1437,13.0,1000.0,25.0,0,677,0.2284,3
14917,13,570,9.0,29873.6,610.69,72,629,0.3212,4
22327,40,1017,6.75,4000.0,76.0,0,716,0.3963,2
9190,14,570,4.0,25339.34,512.96,60,698,0.2492,2
16233,13,55,3.25,14763.74,328.2,48,766,0.2841,1
15869,25,1176,16.0,7422.37,226.65,48,591,0.3996,5
21109,13,570,3.5,25968.08,400.05,72,727,0.5471,1
14376,3,47,7.75,15806.85,325.9,60,706,0.3622,2
797,3,1407,8.25,10635.88,222.19,60,719,0.4069,2
6121,13,780,3.5,15234.33,277.34,60,745,0.8413,1
16489,43,1437,13.0,500.0,25.0,0,732,0.1816,1
20662,25,585,6.75,15000.0,310.49,60,691,0.3398,2
1775,3,1916,15.75,6286.0,223.43,36,0,0.0884,4
19231,40,780,6.75,10000.0,291.0,0,726,0.3762,1
12228,17,780,2.75,9928.81,287.5,36,785,0.3127,1
1629,9999,1437,4.25,39968.32,550.93,84,675,0.1408,1
7352,3,780,6.0,30000.0,610.22,60,763,0.3471,1
18805,3,585,10.0,19347.89,389.53,60,666,0.4338,3
420,25,1437,15.75,6934.0,246.64,36,537,0.2551,5
7322,3,780,7.75,30000.0,555.15,72,743,0.093,1
7840,2,1407,6.5,2000.0,172.51,12,681,0.3617,2
4856,3,780,2.49,2896.43,244.65,12,794,0.3973,1
1460,9999,1407,4.0,23973.97,375.69,72,734,0.4796,1
9016,3,570,15.75,14412.74,379.29,60,637,0.2642,4
22502,17,341,4.25,17218.54,331.24,60,655,0.3244,3
19745,13,1437,6.5,15200.0,320.28,60,673,0.5722,3
10683,13,1017,3.75,27100.0,495.83,60,826,0.1641,1
21167,25,47,5.5,5400.0,133.68,48,817,0.0713,1
6712,25,570,9.5,2186.0,194.41,12,672,0.3903,3
14065,43,1437,13.0,500.0,25.0,0,617,0.2462,4
7664,3,780,6.0,25000.0,532.5,60,832,0.2317,1
11147,25,1437,14.75,6500.0,238.31,36,615,0.2872,4
11492,14,1437,6.0,24935.27,481.31,60,646,0.3249,3
14431,2,1176,7.0,5000.0,161.93,36,707,0.2776,2
21246,9999,1090,5.5,46887.0,675.0,84,802,0.3836,1
9732,23,780,5.75,30000.0,577.74,60,754,0.2898,1
3409,3,780,8.25,22857.0,511.82,60,702,0.4415,2
13924,25,780,6.25,3880.42,91.56,48,753,0.9719,1
18460,3,780,4.5,10000.0,196.07,60,762,0.1189,1
16022,40,780,6.75,5000.0,50.0,0,747,0.2315,1
4387,2,780,6.0,18000.0,547.52,36,758,0.3315,1
6574,25,780,5.5,4000.0,183.73,24,770,0.3184,1
1306,40,1916,6.75,3000.0,50.0,0,658,0.0335,3
21091,3,47,9.75,11500.0,265.93,60,659,0.0289,3
9782,3,1437,7.75,23618.26,521.36,60,708,0.5261,2
9464,3,780,6.75,26000.0,563.06,60,803,0.2347,1
19073,40,570,6.75,5996.37,182.0,0,672,0.4395,3
7338,3,570,15.75,5874.17,205.99,36,637,0.0778,4
10655,25,780,5.75,15000.0,288.49,60,743,0.4979,1
9749,3,585,7.75,20000.0,402.18,60,710,0.4899,2
21035,40,47,6.75,4000.0,90.0,0,773,0.0065,1
15733,40,1437,6.75,12983.06,417.0,0,661,0.3538,3
7923,3,780,6.0,15000.0,318.07,60,822,0.4419,1
431,3,1176,15.25,13865.0,416.54,48,603,0.2147,4
14214,3,780,6.75,25000.0,492.51,60,745,0.1569,1
17528,40,1437,6.75,30000.0,50.0,0,793,0.4935,1
2292,25,780,6.25,15000.0,292.32,60,799,1.8829,1
16506,3,780,6.0,30000.0,578.66,60,723,0.1517,1
11229,2,1437,7.75,26000.0,571.85,60,707,0.3674,2
18408,2,1437,4.5,16000.0,327.54,60,833,0.9788,1
21096,43,570,13.0,1000.0,50.0,0,0,0.2822,4
17554,2,47,7.0,8000.0,206.72,48,648,0.244,3
8749,3,585,10.75,41566.58,945.7,60,674,0.4553,3
2957,7,1017,14.5,1500.0,137.8,12,605,0.0661,4
12061,23,1437,6.5,4000.0,180.32,24,706,0.1811,2
3554,3,780,6.0,30000.0,638.76,60,720,0.545,1
3309,3,1916,10.75,12700.45,275.77,60,672,0.3551,3
3666,25,780,6.0,12000.0,243.62,60,729,0.1825,1
21207,40,55,6.75,10000.0,156.0,0,735,0.3106,1
21874,3,585,7.25,19345.75,393.24,60,691,0.2421,2
1913,3,780,5.5,3500.0,154.68,24,720,1.4022,1
5036,3,1407,7.5,8470.7,220.46,48,696,0.5145,2
10778,25,780,5.75,4000.0,121.23,36,812,1.0449,1
11658,24,585,9.25,5500.0,251.9,24,665,0.3175,3
2034,13,780,3.75,14000.0,273.05,56,768,0.1378,1
15609,40,780,6.75,15000.0,325.0,0,718,0.2332,2
334,3,1437,16.0,9950.16,287.16,48,567,0.1631,5
2911,25,780,6.0,5500.0,177.25,36,768,0.7381,1
